rxn,smiles,ea
MR_100047_1,[C:1]1([H:8])([H:9])[C:4]([C@:5]2([H:13])[C:2]([H:11])([H:12])[C:3]2=[C:6]([H:14])[H:15])([H:10])[O:7]1>>[C:1]1([H:8])([H:9])[C:3](=[C:6]([H:14])[H:15])[C:2]([H:11])([H:12])[C:5]([H:13])=[C:4]([H:10])[O:7]1,52.60395249998439
MR_100058_1,[C:1]([C:2]([C:7]([O:8][H:10])=[O:9])([H:12])[H:13])([C:3]([H:14])([H:15])[H:16])([C:4]([H:17])([H:18])[H:19])[N:6]([C:5]([H:20])([H:21])[H:22])[H:11]>>[C:1]([C:2]([C:7](=[O:8])[O:9][H:11])([H:12])[H:13])([C:3]([H:14])([H:15])[H:16])([C:4]([H:17])([H:18])[H:19])[N:6]([C:5]([H:20])([H:21])[H:22])[H:10],21.714010000001025
MR_100074_0,[C@:1]([C:2]([O:7][C:4]([H:17])([H:18])[H:19])([H:12])[H:13])([N:5]([H:10])[H:11])([O:6][C:3]([H:14])([H:15])[H:16])[O:8][H:9]>>[C@@:1]([C:2]([O:6][C:3]([H:14])([H:15])[H:16])([H:12])[H:13])([N:5]([H:10])[H:11])([O:7][C:4]([H:17])([H:18])[H:19])[O:8][H:9],71.61657499999293
MR_100074_2,[C@:1]([C:2]([O:7][C:4]([H:17])([H:18])[H:19])([H:12])[H:13])([N:5]([H:10])[H:11])([O:6][C:3]([H:14])([H:15])[H:16])[O:8][H:9]>>[C@@:1]([C:2]([O:6][C:3]([H:14])([H:15])[H:16])([H:12])[H:13])([N:5]([H:10])[H:11])([O:7][C:4]([H:17])([H:18])[H:19])[O:8][H:9],71.36369249998936
MR_100084_1,[C@:1]([C:3]([H:15])([H:16])[H:17])([O:6][C:2]([H:12])([H:13])[H:14])([O:7][H:10])/[N:9]=[C:5](/[C:4]([H:18])([H:19])[H:20])[O:8][H:11]>>[C:1](\[C:3]([H:15])([H:16])[H:17])([O:7][H:10])=[N:9]/[C@:5]([C:4]([H:18])([H:19])[H:20])([O:6][C:2]([H:12])([H:13])[H:14])[O:8][H:11],43.48888749999105
MR_100162_1,[C:1]1([H:10])([H:11])[N:4]([C:2]([H:14])([H:15])[H:16])[N:3]([N:5]([H:8])[H:9])[C:6]([H:12])=[C:7]1[H:13]>>[C:1]1([H:10])([H:11])[N:4]([C:2]([H:14])([H:15])[H:16])[C:7]1(/[C:6](=[N:3]/[N:5]([H:8])[H:9])[H:12])[H:13],46.33522750000992
MR_100178_1,[C:1]([C:4]1=[N:8][C:7]2([H:13])[N:2]([N:5]([H:9])[H:10])[C:3]12[N:6]([H:11])[H:12])([H:14])([H:15])[H:16]>>[C:1]([c:4]1[c:3]([N:6]([H:11])[H:12])[n:2]([N:5]([H:9])[H:10])[c:7]([H:13])[n:8]1)([H:14])([H:15])[H:16],25.100627500011257
MR_100182_1,[C:1]([C:3]1=[N:7][C:6]1(/[C:5](=[N:2]/[N:4]([H:8])[H:9])[H:10])[H:11])([H:12])([H:13])[H:14]>>[C:1]([c:3]1[n:2]([N:4]([H:8])[H:9])[c:5]([H:10])[c:6]([H:11])[n:7]1)([H:12])([H:13])[H:14],44.5531274999793
MR_100203_1,[C:1](/[C:6](=[C:5](\[N:2]([N:3]([H:9])[H:10])[N:4]([H:7])[H:8])[H:11])[H:12])([H:13])([H:14])[H:15]>>[C:1]([C:6]([N:3]([H:9])[H:10])(/[C:5](=[N:2]/[N:4]([H:7])[H:8])[H:11])[H:12])([H:13])([H:14])[H:15],48.94500000001969
MR_100229_0,[C:1](/[N:7]=[C:2]([N:3]([H:8])[H:9])\[C:5](=[C:6](/[N:4]([H:10])[H:11])[H:13])[H:12])([H:14])([H:15])[H:16]>>[C:1]([N:7]1[C:2]([N:3]([H:8])[H:9])=[C:5]([H:12])[C:6]1([N:4]([H:10])[H:11])[H:13])([H:14])([H:15])[H:16],61.15238500001723
MR_100229_1,[C:1](/[N:7]=[C:2]([N:3]([H:8])[H:9])/[C:5](=[C:6](/[N:4]([H:10])[H:11])[H:13])[H:12])([H:14])([H:15])[H:16]>>[C:1]([N:7]1[C:2]([N:3]([H:8])[H:9])=[C:5]([H:12])[C:6]1([N:4]([H:10])[H:11])[H:13])([H:14])([H:15])[H:16],36.302129999980224
MR_100336_1,[C:1]([C:2]([H:16])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])(/[C:4]([N:6]([H:11])[H:12])=[C:8](/[N:7]([H:13])[H:14])[H:15])[N:5]([H:9])[H:10]>>[C:1]([C:2]([H:16])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])=[C:4]([N:6]([H:11])[H:12])[C:8]([N:5]([H:9])[H:10])([N:7]([H:13])[H:14])[H:15],62.31074999998185
MR_100337_0,[C:1]([C:2]([H:16])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])(/[C:4]([N:6]([H:11])[H:12])=[C:8](/[N:7]([H:13])[H:14])[H:15])[N:5]([H:9])[H:10]>>[C:1]1([C:2]([H:16])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])[C:4]([N:5]([H:9])[H:10])([N:6]([H:11])[H:12])[C:8]1([N:7]([H:13])[H:14])[H:15],56.03637749995031
MR_100435_0,[C:1]([N:2]([O:4][C:3]([O:5][H:7])=[O:6])[H:8])([H:9])([H:10])[H:11]>>[C:1]([N:2]([O:6][C:3](=[O:4])[O:5][H:7])[H:8])([H:9])([H:10])[H:11],52.01598499997076
MR_100435_1,[C:1]([N:2]([O:4][C:3]([O:5][H:7])=[O:6])[H:8])([H:9])([H:10])[H:11]>>[C:1]([N:2]([O:6][C:3](=[O:4])[O:5][H:7])[H:8])([H:9])([H:10])[H:11],51.84028500002199
MR_100436_0,[C:1]([N:2]([O:4][C:3]([O:5][H:7])=[O:6])[H:8])([H:9])([H:10])[H:11]>>[C:1]([N:2]1[C:3]([O:5][H:7])([O:6][H:8])[O:4]1)([H:9])([H:10])[H:11],69.60229999997779
